,Player,Mins,Rating,Market Value,Fee,Class
1138,Xavier Chavalerin,3240,6.94,70.77045216199002,0.0,1
1139,Pedro Mendes,2669,6.93,69.922312922576,0.0,1
1140,Ludovic AjorqueStrasbourg,1536,6.93,67.23180555458293,0.0,1
1141,Jacques-Alaixys o,3165,6.92,71.60795246661172,0.0,1
1142,Fode Ballo-Toure,1595,6.9,68.89531286377576,0.0,1
1143,Diego Carlos,3149,6.9,72.58555862711307,0.0,0
1144,Mehmet Zeki Çelik,2976,6.89,72.68254024600554,0.0,1
1145,Faycal Fajr,3240,6.89,73.3094545841787,0.0,1
1146,Vincent Manceau,2790,6.89,72.24085059865632,0.0,1
1147,Anthony Briancon,2927,6.88,73.07398162979752,0.0,1
1148,Issiaga Sylla,1995,6.88,70.86078404200447,0.0,1
1149,Pedro Rebocho,3240,6.87,74.32505555305414,0.0,1
1150,Dante,3227,6.87,74.29418477125017,0.0,1
1151,Pierrick Capelle,1845,6.87,71.01238319793475,0.0,1
1152,Ramy Bensebaini,2154,6.86,72.25395841909784,0.0,0
1153,Christopher Jullien,3016,6.86,74.30092872025403,0.0,0
1154,Stéphane Ruffier,3330,6.86,75.04657683459635,0.0,1
1155,Pierre Lees-Melou,2393,6.85,73.32930635362419,0.0,1
1156,Radamel Falcao,2565,6.85,73.73775054364609,0.0,1
1157,Sofiane Alakouch,1901,6.85,72.16096599611967,0.0,1
1158,Félix Eboa Eboa,2427,6.85,73.4100453214192,0.0,1
1159,Otávio,2880,6.85,74.48577333351176,0.0,1
1160,Thomas Monconduit,2821,6.84,74.85346796206977,0.0,1
1161,Björn Engels,2970,6.83,75.71509509949158,0.0,0
1162,Enock Kwateng,2040,6.83,73.50664686274536,0.0,0
1163,Andrei Girotto,1478,6.83,72.17207921860404,0.0,1
